1|Freak weather change: Roll for Weather (reroll 6s and 7s), and exaggerate the effect (eg “wetter” means a sudden downpour washing away tracks). If the PCs press on through difficult weather, a Con (Athletics) check is required to avoid becoming Fatigued [1].
2|Off Course: The party has strayed from their intended course and risks becoming lost in their hex. A Montage (Mod, 3F) is required to regain bearings. If successful, the adventurers get back on track. If unsuccessful, they become lost: the GM rolls for a Random Encounter, and the PCs must spend the next day trying to regain their bearings [3].
3|A Random Encounter occurs. Roll for Reaction and Activity (p.66) if appropriate.
4|Vagaries of Adventure: The party experiences an unexpected turn of weal or woe (Consult the Bones). If weal, 1d4 PCs may reroll a single roll during the adventure. If woe, roll 1d6: (i) 1d4 PCs exposed to random disease, (ii) 1d4 hirelings/pets exposed to random disease/parasite, (iii) 1d4 PCs lose/damage random Pack Gear, (iv) secret betrayal by hireling/NPC, (v) Luck (Perc) save or valuable (secretly) stolen, (vi) Random Encounter [5].
5|Forgotten Ruins beckon, tempting the adventurers with the possibility of treasure. Exploring the ancient site requires a Montage (Mod, 3F). If successful, each PC finds loot (1d6; 1-3: Carry Loot B, 4-5: Trinkets & Curios, 6: Valuables A). If unsuccessful, the party awakens the guardian(s) instead (1d12+8 on Random Encounter table; single creature is a Boss) [6].
6|Overwhelming Numbers of enemies or rivals block the party’s present course (xenophobic barbarians, Skorn tribe, etc). A Montage (Hard, 2F) is required to slip by unnoticed. If failed, run a Chase to determine whether the adventurers escape [6]!
7|A Random Encounter occurs. Roll for Reaction and Activity (p.66) if appropriate [7].
8|New Lore: Travel is uneventful, providing time for study. The GM provides a new rumour, myth, legend or other piece of lore to the party (ideally something local, through an NPC, or as something a PC now recalls) [7].
9|Natural Wonder: The party stumbles upon a natural wonder, fey sacred site, or ley line. If the adventurers spend a day resting here, one PC suffering Madness may make a Luck (Will) save to remove it (once per character). Random Encounters are unlikely here (roll Reaction with advantage) [8].
10|Other Travellers: The party encounters other travellers, roll 1d8: (i) 1d3 scouts, (ii-iii) 2d6+10 border guard, (iv) merchant caravan, (v) 1d4+2 rival adventurers, (vi) noble with entourage, (vii) 4d6+10 religious pilgrims, (viii) GM special [8].
11|A Random Encounter occurs. Roll for Reaction and Activity (p.66) if appropriate [9].
12|Camaraderie: Travel is relatively uneventful, providing time to strengthen party bonds. One player may choose to spin a tale or reveal a secret about their PC’s history. If the table is entertained, each PC may choose to recover 1 Luck or take a Short Rest (once per adventure only) [9].
13|Short Cut: The opportunity to take a short cut arises if the party can find it (mountain pass, game trail, etc). Resolve as an Int or Perc (Wilderness Lore) check. On a Great Success the party enters this hex for free [10].
14|Lost Supplies: The party must make a group Luck save or their rations/water are halved (failure) or run out (Terrible Failure). Tainted food/water requires a Luck (Con) save to avoid contracting a random disease or suffering a Minor Poison effect [11].
15|A Random Encounter occurs. Roll for Reaction and Activity (p.66) if appropriate.
16|Discovery: The company discovers or happens upon any secret information about the current hex. If there is no such information, they discover a Monster Lair instead (roll Random Encounter using Lair numbers; Consult the Bones if sentries detect them) [12].
17|Unfortunate Injury: A random NPC or animal falls ill, lame, or suffers a Sprained Ankle. A Ranger Beast Companion or PC may make a Luck (Con) save to resist. This impacts Travel Speed unless the injured character or animal can be assisted via the Support role [13].
18|Taxing Terrain: Difficult and unexpected terrain (river crossing, landslide, etc) impedes the path. Progress is slow and taxing, requiring a Montage (Hard, 2F). If failed the party is Fatigued and a random PC uses up or loses a piece of relevant gear [14].
19|A Random Encounter occurs. Roll for Reaction and Activity (p.66) if appropriate.
20|Perfect Campsite: The company has a chance to locate the perfect campsite. A Perc (Wilderness Lore*) check is required. On a success, all PCs restore 1d3 lost attribute points, one Reroll, or one point of Luck (once per adventure only) [2].
