1|Poison: Trees/vines cause [[2d6]] dmg, 1 Con loss, and Madness (Luck (Con) resists).
2|Huts: Dilapidated huts and five burial mounds beside a brook.
3|Snared: Barbarian Iriti suspended in snare. [[2d6]] Ogres arrive in [[2d4]] rounds.
4|Bridge: Ancient stone bridge. Crossing has 50% chance of DDM Rift.
5|Carving: Gnarled white tree with carving; possible fey, curse, or fortune.
6|Stones: Sinkhole beside rune-marked stones; steps lead into darkness.
7|Puff: Mushroom puffs spores; Luck (Con) save vs Toxin Trauma.
8|Webs: Sticky webbing on ground/branches; [[2d4]] Giant Spiders in shadows.
9|Hive: Giant Ant hive nearby; [[2d6]] Workers (70%) or [[1d4]] Soldiers (30%).
10|Beetles: [[2d4]] Fire Beetles laying eggs; will drive off interlopers.
11|Serpents: [[2d6]] Giant Serpents. Consult Bones for ambush.
12|Cracking: Owlbear(s) scratching against ancient trunks.
13|Howls: [[3d4]] Wolves (70%) or [[2d4]] Dire Wolves (30%) surround party.
14|Death: [[2d6]] Shades silently glide toward sentry at night.
15|Treants: [[1d4]] Bloodroot Treants masquerading as trees.
16|Rats: [[5d4]] Giant Rats (70%) or [[3d4]] Dire Rats (30%) scavenging.
17|Skorn: [[4d6]] Skorn (60%) or [[2d6]] Urgot (40%) camped at pond.
18|Bats: [[3d6]] Vampire Bats (Stirge) hanging high; attack bloody wounds.
19|Branch: Heavy deadwood falls; [[1d10]] dmg (Dex check resists).
20|Light: Wisps circle branches above, humming an ethereal dirge.
