1-3|Accidentally bumps player-character.
4-6|Warriors are drunk.
7|Warriors are looking for a fight.
8|Lonely warrior wants a friend.
9|Warrior is on a quest.
10|Warrior wants vengeance.
11-12|Warriors are muscle-men for a politico-religious faction.
13-14|Warriors are recruiting for an expedition: to define the mission, see Table 29, the mission table.
15|Warriors are being robbed.
16|Warriors are part of a merchant's guard.
17|Priest leads any of 1-16 above. (Quality of Leader: Roll [[1d20]]. 1-4: Beginner, 5-10: Ordinary, 11-15: Good, 16-18: Excellent, 19-20: Superb)
18|Shaman leads any of 1-16 above. (Quality of Leader: Roll [[1d20]]. 1-4: Beginner, 5-10: Ordinary, 11-15: Good, 16-18: Excellent, 19-20: Superb)
19|Nobleman and retainers: roll on Table 11. (Quality of Leader: Roll [[1d20]]. 1-4: Beginner, 5-10: Ordinary, 11-15: Good, 16-18: Excellent, 19-20: Superb)
20|Any of 1-19 above: recognizes player-character: roll [[1d20]]. If 1-10, mistaken; if 11-20, correct (as rival, thief, friend, etc.).
