1-4|A barbarian bumps into a player-character. Roll [[1d20]]: on a result of 1-4, he ignores him; on 5-10, he demands an apology; on 11-15, he accuses the player-character of being a thief; on 16-19, he is lonely and offers to buy the player-character a drink; on 20, he attacks the player-character.
5|A barbarian is being laughed at, insulted, mocked, etc., by street urchins/townsfolk.
6-7|Player-characters see a barbarian accost women in street, bar, etc.
8-10|A barbarian insults someone. Roll [[1d20]]: if 1-5, it is a nobleman or official; if 6-10, a sorcerer; if 11-12, a fellow barbarian; if 13-18, a member of the town watch; if 19-20, a player-character.
11-12|A barbarian is brawling with someone. Roll [[1d20]]: on a result of 1-6, it is someone from another tribe; on 7-10, slavers; on 11-15, a member of the town watch; on 16-20, anyone convenient.
13-14|Lost and lonely, a barbarian tries to make friends with a player-character.
15-16|A barbarian is hunting down an enemy. Roll [[1d20]]: on a result of 1-6, he needs help; on 7-15, he needs information; on 16-20, he is seen attacking enemy.
17|A barbarian is hiring for an expedition: see Table 29, the mission table, to define the expedition.
18|A barbarian is selling trade goods - furs, meats, trinkets, shrunken heads, worthless stones, etc.
19-20|This barbarian is a scout. Roll [[1d20]]: on a result of 1-8, he seeks new land; on 9-12, he seeks jobs; on 13-14, he is on a sacred quest; on 15-16, he seeks vengeance (see Table 29, the mission table, to establish his enemy); on 17-18, he is gathering information for a raid on the town or city; on 19, he seeks food for his people; on 20, he seeks a savior for the tribe.
