1-2|Chains: You awaken in chains as part of a Nydissian slave caravan. Word of your predicament somehow makes it to your allies. Consult the Bones to determine if the caravan is delayed while checking supplies the following day (due to depart in 1d4 hours).
3-4|Crime: Your drunken endeavours lead you to commit a crime, roll 1d6: (i) street graffiti, (ii) pilfered tavern shot glasses, (iii) cosmetic arson, (iv) lecherous leering, (v) affray, (vi) wounding. You are wanted by the guard for questioning for the next 1d6 months.
5-6|Cells: You wake up in the watch cells on drunk and disorderly charges, with no memory of what occurred. You are fined 5d10+20 sp with a side order of shame, shame, shame.
7-8|Spiked: A rapscallion spikes your drink. Make a Con check. On a fail, the rogue steals your coin pouch (lose 6d10 sp) while you sleep it off. On a success, the thief beats a hasty exit instead. Either way, if you make an Int check, you remember their face.
9-10|MoaH: You awaken with the Mother of all Hangovers. You cannot function for twenty four hours, and suffer the effects of Head Injury and System Shock from the Injuries & Setbacks table.
11-12|Unhappy Awakening: You awaken the next morning in (roll 1d6): (i) a pile of horse dung, (ii) the gutter, (iii) dog kennel, (iv) stable, (v) your aunt’s place, (vi) the arms of an attractive someone whose name stubbornly eludes you.
13-14|Unhappy Awakening: You awaken the next morning (roll 1d6): (i) under a bridge, (ii) in a bell tower, (iii) in an isolated alley, surrounded by vicious street cats led by a grey tabby that calls herself Reow, (iv) dumped outside city walls, (v) on a rooftop being pecked at by crows, (vi) half naked and alone, nearby a brothel (Consult the Bones to see if you have contracted Lemon Rot).
15-16|Duel: You accuse Lord Anders of sleeping with Lady Hanna, the wife of another highborn (in fact true). Anders demands a duel to the death for besmirching his honour, ushering forward his champion, Yorrick, a towering Argosan with a deadly left hand (Fighter 4, Heavy, S16, D15, C15). Best of luck.
17-18|Cards: You wager 2d4 x 10 sp on cards. Consult the Bones to see whether you win twice that, or lose it.
19-20|Bottom’s Up!: The inevitable drinking contest. Roll 1d6: (i) Winner! Gain 3d6 sp and some fame, (ii) a strong contender but you bow out before you pass out, (iii) you wake up under the table, (iv) you wake up with a terrible hangover and no coin pouch (lose 4d6 sp), (v) you wake up at home with a stranger in your bed, (vi) you vomit on a competitor, who vomits on you in turn. The tavern shuts for a week and you are banned for 1d12 months.
21-22|Rooftops: At some point in the festivities you lead the watch on a merry chase across the rooftops, before falling off (roll 1d8+3 on the Blunt Trauma table, no permanent injuries). Make a Luck save. If you fail, you are thrown in the cells and fined 4d10 sp. On a success the guards let you go.
