1|Winds: Hurricane strength winds force grounding for 4d6 hours. Roll ground encounter.
2|Eclipse: Solar/lunar event. PCs exposed Consult the Bones to gain or lose 1 Luck.
3|Intercept: Flying ship, mounted patrol, or sorcerer approaches to intercept.
4|Dust Storm: Breathing difficulty. Lose 1d2 Con (Luck (Con) save negates).
5|Peak: High peak spire with a jade tip and rune-marked iron door at base.
6|Cloud Vortex: Lightning flashes around an unnatural swirling vortex that tugs at the party.
7|Malfunction: Ship/mount falters. Grounded for 1 day; repairs or healing checks required.
8|Curious Bat: Solitary bat follows. (30% curious, 50% lost pet, 20% vampire).
9|Eagles: 3d6 Giant Eagles with riders approach for parlay.
10|Elemental: 10 HD Air Elemental follows parallel, curious about the party.
11|Manticore: Hunting for a meal. (30% Boss behemoth). May parlay for trinkets/mounts.
12|Stowaway: Discovered aboard ship, or 2d4 Xornlings/Treasure Ticks in gear.
13|Spores: Tainted winds carry disease. Luck (Con) save to resist.
14|Wyverns: 1d4 territorial Wyverns attempt to destroy or drive off intruders.
15|Harpies: 2d6 Harpies hearable on wind before they attempt to beguile a PC.
16|Roc: 40-foot bird blacks out the sun/moon before diving to eat a PC.
17|Dire Bats: 3d6 screeching bats attempt to grab and fly off with PCs to devour.
18|Bats: Flock flies through. Luck (Con) save vs disease from bat/droppings hit.
19|Griffons: 2d6 Griffons play games around ship or attack flying mounts.
20|Wasps: 2d4 Giant Wasps carrying 1d6 paralyzed humans to their nest.
