1-4|Player-characters witness a spectacle: banners, trumpets, knights, warhorses, hunting birds, etc.
5|Aristocrat is on a quest with only his guards accompanying him. Re-roll on this table to see why the player-characters noticed him.
6-9|Aristocrat is hiring retainers or for an expedition (see Table 29 for particulars).
10-11|Aristocrat needs a deed performed. For what he offers, roll [[1d20]]: on a result of 1-5, he offers his daughter's hand (find further details on the marriages table, Table CU-10); on 6-10, wealth; on 11-15, glory; on 16-20, a position of power. For the deed, roll on Table 29, the missions table.
12|Aristocrat solicits information. Roll [[1d20]]: on a result of 1-8, he wants information about goods; on 9-16, he wants information on people; on 17-20, he wants information about places. See Table 29, the missions table, to determine particulars.
13-14|Aristocrat wants to hire player-characters to fight in a war, feud, range, war, etc.
15|Player-characters see an aristocrat and [[1d10]] retainers in town; on 14, they are arranging an abduction; on 15-17, they are searching for an abducted aristocratic relative; on 18-19, the aristocrat is about to be abducted; on 20, the aristocrat is about to be assassinated.
16|Player-characters encounter a deposed aristocrat (a baron or higher in rank) and [[1d4]] retainers. Roll [[1d20]]: on a result of 1-5, they are drinking to forget; on 6-10, they are forming a mercenary band; on 11-15, plotting to regain lost lands; on 16-17, plotting vengeance; on 18-19, angry and ready to attack someone; on 20, in a fight with other guards, town watch, etc.
17|In the street, player-characters encounter an aristocrat with [[1d10]] retainers and [[1d10]] guards fighting against a band of ruffians. The aristocrat had intruded upon a Thieves' Guild ceremony.
18|Player-characters encounter an aristocrat's son or daughter who is lost and who needs help finding his/her father. There is a 20% chance that thieves have created the situation as a set-up for robbery.
19|Player-characters encounter an aristocrat. He has just escaped from his captors, who are hot on his heels. He needs help. There is a 10% chance that slavers have set up the situation.
20|The player-characters encounter an aristocrat who is on secret government business.
