1-3|Player-characters observe slaves being transported.
4-5|Player-characters see a slaver beat a slave.
6-8|Slavers are exhibiting slaves to enhance future sales.
9-10|Player-characters see a slave attempt to escape.
11-12|A slave bumps into a player-character and slips him a message. Roll [[1d20]]: on a result of 1-5, the message offers wealth; on 5-10, it offers power; on 11-13, it offers rank and prestige; on 14-16, it gives a warning; on 17-18, it is a message to a friend; on 19-20, it is nonsense.
13|A player-character is accidentally bumped. Roll [[1d20]]: on a roll of 1-2, he is bumped by an overseer; on 3-14, by a guard; on 15-20, by a slave.
14|The player-characters notice that urchins are jeering at the slaves.
15-16|The player-characters recognize a slave. Roll [[1d20]]: on a result of 1, he/she is a relative; on 2-4, a friend; on 5-7, an enemy; on 8-9, a close friend; on 10, of noble birth; on 11-13, a fellow countryman; on 14-15, a government employee; on 16-17, a secret society member; on 18, recognize an overseer as 1-17 of this entry; on 19, recognize a guard as 1-17 of this entry; on 20, mistakenly identify 1-19 of this entry.
17-18|A slave mistakenly recognizes a player-character: roll [[1d20]] on entry 15-16 above.
19|Overseers mistakenly recognize a player-character: roll [[1d20]] on entry 15-16 above.
20|The coffle is a disguised party on a mission. Roll [[1d20]]: if 1-3, they are assassins; if 4-9, thieves; if 10-13, merchants transporting expensive goods; if 14-17, a faction going to a meeting or a fight; if 18-19, government officials on a secret mission; if 20, a noble and retainers.
