Range|Text
1-10|Fire.
11-12|Magicians duel.
13-14|Street fight between religious or political factions.
15-22|Caravan blocks the street.
23-25|Public trial.
26-28|Public execution.
29|Attempted overthrow of local government.
30-34|Traffic snarls for [[1d10]] minutes.
35-37|Soldiers block the way. If player-characters pass, the soldiers question them about something the player-characters know.
38-41|Raid on a merchant by a rival.
42-47|The watch raids an underworld hangout.
48-56|Warriors are dueling.
57-58|A rabble-rouser incites the crowd to riot.
59-61|Assassination attempt.
62-63|Two nobles races their horses down the street, knocking aside commoners.
64-66|Attempted abduction.
67|Army called out on alert.
68-76|Player-characters witness a theft.
77-79|Body of a noble or a rich merchant or a high priest passes in state, with many bearers, mourners, and guards.
80-81|Wild mob or rampaging political faction surges down the street.
82|Player-characters witness mugging.
83-85|Hunters carry a caged monster or animal.
86-88|The town watch rounds up some prostitutes.
89-91|Two drunks are fighting.
92-93|Dead body poorly hidden behind wagon, under garbage, in alley.
94-95|Slave trying to escape from slavers.
96-97|Wild animal or rampaging ox, horse, etc., loose in the streets or trampling handler.
98|Doctor works in street on accident victim.
99-100|Secret society, sect, spies, assassins: roll [[1d20]]. If 1-5, player-characters stumble into their meeting; if 6-10, one gives player-character a message, thinking him/her a member; if 11-17, thinking the player-characters are enemies, they tail them; if 18-20, they ask the player-characters to join them.
