1-12|Assassin (roll [[1d100]] check, on a roll of 01-15, two assassins are working together): An assassin tries to join the player-character party. Roll [[1d20]]: on a result of 1-4, he wants to get information about a potential victim; on 5-8, he wants to recruit player-characters as partners in a murder; on 9-12, he wants to gain cover to allow him to get close to his victim; on 13-16, he wants to hide from the searches of the town watch; on 17-20, he wants to incriminate a player-character for a past assassination and thereby divert attention from himself.
13-20|Assassin (roll [[1d100]] check, on a roll of 01-15, two assassins are working together): A player-character notices an assassin getting ready to attack. Roll [[1d20]]: on a result of 1-5, the assassin is on a high roof armed with a crossbow; on 6-10, the assassin is pacing off distances; on 11-15, the assassin is preparing a trap; on 16-20, the assassin is using the player-character as a dry run for the real thing.
21-24|Assassin (roll [[1d100]] check, on a roll of 01-15, two assassins are working together): An assassin is being pursued by the town watch or regular soldiers, and he bowls over a player-character in rounding a corner.
25-34|Assassin (roll [[1d100]] check, on a roll of 01-15, two assassins are working together): The player-characters witness an assassination attempt. Roll [[1d20]]: on 1-3, the attempt is on a member of the watch; on 4-5, on a noble's personal retainer or guard; on 6-11, the attempt is on a noble; on 12-20, the attempt is on a townsperson.
35-38|Assassin (roll [[1d100]] check, on a roll of 01-15, two assassins are working together): Player-characters overhear an assassin talking to his employer; if the assassin notices them listening, there is an 85% chance he will try to silence them.
39-40|Assassin (roll [[1d100]] check, on a roll of 01-15, two assassins are working together): An assassin thinks he recognizes a player-character. Roll [[1d20]]: on a result of 1-4, he is correct; on 5-20, he is mistaken. For his mistake, roll [[1d20]]: on 1-5, he thinks player-character is a fellow assassin; on 6-10, his employer; on 11-15, his victim; on 16-20, an unimportant townsperson.
41|Spy (roll [[1d100]] check, on a roll of 01-40, two spies are working together): Startled by a player-character, a spy hurries off, but his partner tails the player-character.
42-44|Spy (roll [[1d100]] check, on a roll of 01-40, two spies are working together): A spy thinks he recognizes a player-character. Roll [[1d20]]: on a result of 1-15, the spy is correct; on 16-20, he is mistaken.
45-47|Spy (roll [[1d100]] check, on a roll of 01-40, two spies are working together): A spy tries to recruit a player-character for undercover work. Roll [[1d20]]: on a result of 1-10, the recruiter is an agent for the city they're in, and the player-character is to be sent to another city; on 11-20, the recruiter is an agent for another city and the job is in this city.
48-51|Spy (roll [[1d100]] check, on a roll of 01-40, two spies are working together): A spy wants to recruit a player-character for a job in another city as part of a trade mission, as a delegate, as a minor official, etc. Roll [[1d20]]: on a result of 1-10, it's a real job; on a roll of 11-20, it's cover for a spy ring.
52-57|Spy (roll [[1d100]] check, on a roll of 01-40, two spies are working together): A spy wants to recruit a player-character for a job in another city as part of a trade mission, as a delegate, as a minor official, etc. Agent is from another city and wants the player-character to set up an operation in this city.
58-59|Spy (roll [[1d100]] check, on a roll of 01-40, two spies are working together): A spy tries to pass a stolen document to a player-character. Roll [[1d20]]: on a result of 1-10, he thinks the player-character is a fellow agent; on 11-20, enemy agents are in hot pursuit and he needs to unload the document.
60|Spy (roll [[1d100]] check, on a roll of 01-40, two spies are working together): City counter-intelligence agents want to entrap the player-characters. Roll [[1d20]]: on a result of 1-10, they think a player-character is an enemy agent; on 11-20, they want to frame someone to look good for their boss.
