1|Wildfire: Grassland fire; group Luck save or [[4d6]] dmg and roll on Injuries & Setbacks table.
2|Shaman: Masked humanoid raises arms; thunder sounds.
3|Palisade: Wooden defense with large tent; guarded by Stone Golem.
4|Scavengers: [[5d4]] Giant Rats (70%) or [[3d4]] Dire Rats (30%) scavenging.
5|Crater: Meteorite crater with crystal; serpent tracks lead away.
6|Footprints: Clear pond with wet footprints leading to underwater tunnel.
7|Centaurs: [[2d8]] hostile sentries guarding ancestral territory.
8|Fog: Visibility Far range. Check for [[3d6]] Skorn, Centaurs, or tribesmen within.
9|Eagles: [[2d4]] Giant Eagles wheeling overhead.
10|Tiger: Tiger (70%) or mated pair (30%) stalking the rear PC.
11|Captive: [[2d4]] Ogres taunting trussed up barbarian Bok.
12|Pack: [[3d4]] Wolves led by [[1d4+2]] Dire Wolves.
13|Wasps: [[2d4]] Giant Wasps searching for humanoid prey.
14|Holes: Bulette hunting ground evidenced by collapsed tunnels.
15|Willow: Bloodroot Treant with bloodstained branches.
16|Clash: [[4d8]] Ogres clashing with mounted barbarians or Skorn.
17|Serpents: [[1d6]] Giant Serpents or one massive 10 HD specimen.
18|Wolves: Two rival packs fighting over hunting grounds.
19|Barbarians: [[3d10+20]] xenophobic riders appear in distance.
20|Skorn: [[3d10]] hunters. Consult Bones for downwind ambush.
