1|Weather change: (i) Perfect, (ii) Storm, (iii) Fog, (iv) Gale, (v) Severe Storm, (vi) Becalmed.
2|Off Course: Risks becoming lost in hex. Montage (Mod, 3F) to regain bearings.
3|A Random Encounter occurs. Roll for Reaction and Activity.
4|Vagaries of Adventure: Consult the Bones for weal (rerolls) or woe (setbacks).
5|Forgotten Ruins beckon: Montage (Mod, 3F) to explore. Success: loot for all. Failure: Random Encounter.
6|Chance Salvage: Shipwreck or drift cargo. Group Luck save for loot; Consult Bones for disease.
7|A Random Encounter occurs.
8|New Lore: GM provides a new rumour, myth, or legend.
9|Natural Wonder: Rest a day to allow one PC to attempt removing Madness (Luck (Will) save).
10|Other Sailors: Roll 1d8: (i) Warship, (ii-iii) Merchant, (iv) Canoes, (v) Rivals, (vi) Pirates, (vii) Lifeboat, (viii) GM special.
11|A Random Encounter occurs.
12|Camaraderie: Entertaining tale allows recovery of 1 Luck or a Short Rest.
13|Short Cut (currents, reefs). Int or Perc (Watercraft*) check. Great Success: free hex entry.
14|Lost Supplies: Group Luck save or rations/water halved. Tainted food risk.
15|A Random Encounter occurs.
16|Discovery: Find hex secret or Monster Lair.
17|Unfortunate Injury: NPC, animal, or PC falls ill/lame. Impacts speed unless assisted.
18|Strange Waters (tsunami, whirlpool). Montage (Hard, 2F) required. Failure: Fatigued and lose gear.
19|A Random Encounter occurs.
20|Safe Harbour: Perc (Watercraft*) check. Success: restore 1d3 attribute points, one Reroll, or one Luck point.
