1|Large Crowd: A group (herd, procession, etc.) impedes progress. If not managed or bypassed (via Persuasion, Intimidation, etc.), the opposing side changes the gap by two lengths.
2|Dangerous Hazard: Physical threat (riot, poisonous vines, slime). [[1d4]] characters must make a Luck (Dex) save or suffer [[2d6]] + level damage.
3|Obstruction: Physical obstruction (horse & cart, thick scrub, winds). If not bypassed or resolved, the opposing side changes the gap by [[1d2]] lengths.
4|Snap Opportunity: [[1d4]] characters from both sides may take one action (attack, spell, etc.) to assist themselves or hinder the opposition, provided they declare it within a 5-second countdown.
5|Random Setback: Roll [[1d6]]: (i) Drop Item (Battle Gear), (ii) Fatigue (Leader is Fatigued), (iii) Head Strike (Con save or Stunned), (iv) Fall (Dex check or trip), (v) Hostile Third Party (Random encounter), (vi) Lost (Int check or separated).
6|Burst of Speed: The party attempts a Group Con (Athletics) check. On a success, they put on a burst of speed and change the gap by one length.
7|Dangerous Hazard: Falling debris, hunting trap, or hostile bird. The leader must make a Luck (Dex) save or roll [[1d12]] on an appropriate Trauma table.
8|Obstruction: Barrels, crates, jammed door, or smoke. If not bypassed or resolved, the opposing side changes the gap by two lengths.
9|Random Setback: As Entry #5.
10|Hidey Hole: Quarry locate a hiding place. Group Dex (Stealth) check (if PCs are quarry) or Group Perc (Detection) check (if PCs are chasers). Success means quarry escape; failure means they are caught. Either way, chase ends.
11|Snap Opportunity: As Entry #4.
12|Third Party: A small number of creatures (beggars, rock grinders, sprites) impede progress. If not managed or bypassed, the opposing side changes the gap by [[1d2]] lengths.
13|Fell Vapours: Gaseous or inhalation threat (poison vapours, carbon dioxide, spores). [[1d4]] PCs must make a Luck (Con) save or roll [[1d12]] on the Toxin Trauma table.
14|Cross Paths: A random chaser catches up to a lagging quarry. Each character may make a single melee attack against the other before being separated again.
15|Split Up: Opponents split. If quarry split, party chooses which group to focus on (may require mini-chase). If chasers split, half the NPCs are fatigued and drop out.
16|Random Setback: As Entry #5.
17|Major Obstruction: Busy marketplace, mud, hail storm. If not resolved, opposition changes gap by [[1d2]] lengths. Random PC makes Luck (Dex) save or a pack tear causes loss of random Pack Gear.
18|Burst of Speed: The opposition is inspired to put on a burst of speed, changing the gap by two lengths! The party may attempt a group Luck save to negate this.
19|All In!: The whole party and equal number of opponents may take an action (attack, spell, etc.) provided each player declares within a 5-second countdown.
20|Hidey Hole: As Entry #10, but after the chase ends, all PCs must make a Luck (Con) save or be Fatigued.
