1|A soldier accidentally bumps a player-character.
2-5|Player-characters see soldiers in escort. Roll [[1d20]]: on a result of 1-5, they guard goods; on 6-18, they guard a person; on 19, they guard a document; on 20, as 1-19, but they are under attack.
6-7|Soldiers are trying to stop a civil disturbance.
8-9|Player-characters see soldiers raid a business, residence, or underground hideout.
10-11|Soldiers are hiring civilians for an expedition; determine the mission on Table 29.
12|Street urchins taunt some soldiers.
13|Soldiers put on a show of power. Roll [[1d20]]: on a result of 1-14, the show is very impressive and the soldiers act with restraint; on 15-20, the soldiers are rude and obnoxious.
14-15|Some soldiers insult the player-characters by making lewd remarks to any women present and belittling any men.
16|Off-duty soldiers are sightseeing.
17|Off-duty soldiers are drinking and carousing.
18|Off-duty soldiers are fighting with [[1d10]] warriors.
19|Off-duty soldiers are brawling. Roll [[1d20]]: on a result of 1-10, they're fighting with other soldiers from a different unit of the same army; on 11-15, with soldiers from a different army; on 16-20, with soldiers from the same unit.
20|A soldier recognizes a player-character. Roll [[1d20]]: on a result of 1-15, the soldier is mistaken; on 16-20, the soldier correctly recognizes the player-character as an old friend, enemy, etc.
