1-3|A three inch carving of a sabretooth cat from the Suurat Jungle (10 sp).
4-6|A steel handmirror with pearl edging (15 sp) or an ornate nickel bell (20 sp).
7-9|A tin ring with geometric designs (30 sp) or an intricate bronze necklace (40 sp).
10-12|Gold gilded lantern with an Argona star (60 sp) or a silver ivy motif ring (70 sp).
13-15|A fine painting of the lost temple of Ortu Menon, nestled at the base of a mountain valley (80 sp).
16-19|An old very rare book; Ophia’s Unusual Herbs (90 sp) or a set of platinum eating utensils: a fork, knife and spoon (100 sp).
20-23|Copper bicep bracer with a minotaur icon (100 sp) or a brass nose ring of Ancient Suun (110 sp).
24-27|An immaculate, water proof cloak of luxurious wool from the fashion houses of Crow’s Keep (120 sp).
28-31|An obsidian circlet of dwarven design (130 sp) or a five inch ivory statuette of a handsome bard playing a lute (140 sp).
32-35|A finely detailed brass amulet, depicting a primordial sun goddess (150 sp) or a silvered hook hand (160 sp).
36-39|Promissory notes from the Hargraves’ Mercantile Collective (170 sp) or an oak harp with silver inlay (180 sp).
40-43|An intricate silver candelabra (210 sp) or a three inch brass orb decorated with a platinum rope pattern (220 sp).
44-46|A silver anklet with a dragon motif (230 sp) or a leather forearm bracer studded with small turquoise stones (240 sp).
47-50|A silver orb set with holy icons and onyx stones (280 sp) or a bronze skull chalice with a gold rim (300 sp).
51-54|A finely crafted silver brooch with a lion motif (310 sp) or bronze bracelet with gold charms of the four winds (320 sp).
55-57|A six foot tapestry depicting a ferocious battle between armour clad giants in the clouds (330 sp) or a silver necklace with an amethyst pendant (340 sp).
58-60|A four foot chest containing colourful bolts of fine silk (350 sp) or a copper bell decorated with small topaz gemstones (360 sp).
61-70|Precious Stones worth 50 sp x second d10 roll. Gem type: (i) Quartz, (ii) Agate, (iii) Amber, (iv) Turquoise, (v) Crystal, (vi) Amethyst, (vii) Jasper, (viii) Topaz, (ix) Jade, (x) Pearl.
71-77|Masterforged item, [[1d10]]: (i-vii) Weapon, (viii-ix) Armour, or (x) Shield.
78-84|A random Potion.
85-90|A random Scroll.
91-95|A random Minor Charm.
96-100|Roll [[3d20]] on the Valuables B table.
