Range|Text
1-180|An escaped horse (30% chance it is a war horse) runs down the street toward a player-character, avoiding people where it is able to.
181-252|An escaped horse (30% chance it is a war horse) runs down the street toward a player-character, panicked, smashing over obstacles and people in its path.
253-342|An escaped horse (30% chance it is a war horse) runs down the street toward a player-character, being chased by [[2d6]] urchins.
343-360|An escaped horse (30% chance it is a war horse) runs down the street toward a player-character, angry, and people scream and run from it.
361-510|An escaped bull or ox runs down the street toward a player-character, avoiding people where it is able to.
511-570|An escaped bull or ox runs down the street toward a player-character, panicked, smashing over obstacles and people in its path.
571-645|An escaped bull or ox runs down the street toward a player-character, being chased by [[2d6]] urchins.
646-660|An escaped bull or ox runs down the street toward a player-character, angry, and people scream and run from it.
661-750|An escaped donkey or mule runs down the street toward a player-character, avoiding people where it is able to.
751-786|An escaped donkey or mule runs down the street toward a player-character, panicked, smashing over obstacles and people in its path.
787-831|An escaped donkey or mule runs down the street toward a player-character, being chased by [[2d6]] urchins.
832-840|An escaped donkey or mule runs down the street toward a player-character, angry, and people scream and run from it.
841-930|An escaped billy goat or ram runs down the street toward a player-character, avoiding people where it is able to.
931-966|An escaped billy goat or ram runs down the street toward a player-character, panicked, smashing over obstacles and people in its path.
967-1011|An escaped billy goat or ram runs down the street toward a player-character, being chased by [[2d6]] urchins.
1012-1020|An escaped billy goat or ram runs down the street toward a player-character, angry, and people scream and run from it.
1021-1080|An escaped pig runs down the street toward a player-character, avoiding people where it is able to.
1081-1104|An escaped pig runs down the street toward a player-character, panicked, smashing over obstacles and people in its path.
1105-1134|An escaped pig runs down the street toward a player-character, being chased by [[2d6]] urchins.
1135-1140|An escaped pig runs down the street toward a player-character, angry, and people scream and run from it.
1141-1170|An escaped exotic (big cat, wolf, monster, etc.) runs down the street toward a player-character, avoiding people where it is able to.
1171-1182|An escaped exotic (big cat, wolf, monster, etc.) runs down the street toward a player-character, panicked, smashing over obstacles and people in its path.
1183-1197|An escaped exotic (big cat, wolf, monster, etc.) runs down the street toward a player-character, being chased by [[2d6]] urchins.
1198-1200|An escaped exotic (big cat, wolf, monster, etc.) runs down the street toward a player-character, angry, and people scream and run from it.
1201-1320|The town watch has surrounded an angry horse (30% chance it is a war horse) to capture it. They are cornered against a wall.
1321-1380|The town watch has surrounded an angry horse (30% chance it is a war horse) to capture it. They are driving it toward an alley near the player-characters.
1381-1404|The town watch has surrounded an angry horse (30% chance it is a war horse) to capture it. The watch is recruiting townspeople to help capture the animal, and ask the player-characters to help.
1405-1440|The town watch has surrounded an angry horse (30% chance it is a war horse) to capture it; the animal is preparing to attack a woman near the player-characters.
1441-1540|The town watch has surrounded an angry bull or ox to capture it. They are cornered against a wall.
1541-1590|The town watch has surrounded an angry bull or ox to capture it. They are driving it toward an alley near the player-characters.
1591-1610|The town watch has surrounded an angry bull or ox to capture it. The watch is recruiting townspeople to help capture the animal, and ask the player-characters to help.
1611-1640|The town watch has surrounded an angry bull or ox to capture it; the animal is preparing to attack a woman near the player-characters.
1641-1700|The town watch has surrounded an angry donkey or mule to capture it. They are cornered against a wall.
1701-1730|The town watch has surrounded an angry donkey or mule to capture it. They are driving it toward an alley near the player-characters.
1731-1742|The town watch has surrounded an angry donkey or mule to capture it. The watch is recruiting townspeople to help capture the animal, and ask the player-characters to help.
1743-1760|The town watch has surrounded an angry donkey or mule to capture it; the animal is preparing to attack a woman near the player-characters.
1761-1820|The town watch has surrounded an angry billy goat or ram to capture it. They are cornered against a wall.
1821-1850|The town watch has surrounded an angry billy goat or ram to capture it. They are driving it toward an alley near the player-characters.
1851-1862|The town watch has surrounded an angry billy goat or ram to capture it. The watch is recruiting townspeople to help capture the animal, and ask the player-characters to help.
1863-1880|The town watch has surrounded an angry billy goat or ram to capture it; the animal is preparing to attack a woman near the player-characters.
1881-1920|The town watch has surrounded an angry pig to capture it. They are cornered against a wall.
1921-1940|The town watch has surrounded an angry pig to capture it. They are driving it toward an alley near the player-characters.
1941-1948|The town watch has surrounded an angry pig to capture it. The watch is recruiting townspeople to help capture the animal, and ask the player-characters to help.
1949-1960|The town watch has surrounded an angry pig to capture it; the animal is preparing to attack a woman near the player-characters.
1961-1980|The town watch has surrounded an angry exotic (big cat, wolf, monster, etc.) to capture it. They are cornered against a wall.
1981-1990|The town watch has surrounded an angry exotic (big cat, wolf, monster, etc.) to capture it. They are driving it toward an alley near the player-characters.
1991-1994|The town watch has surrounded an angry exotic (big cat, wolf, monster, etc.) to capture it. The watch is recruiting townspeople to help capture the animal, and ask the player-characters to help.
1995-2000|The town watch has surrounded an angry exotic (big cat, wolf, monster, etc.) to capture it; the animal is preparing to attack a woman near the player-characters.
2001-2168|A horse (30% chance it is a war horse) is wandering loose down the street; people are looking, but not doing anything.
2169-2384|A horse (30% chance it is a war horse) is wandering loose down the street; a group of [[2d6]] urchins are following it curiously.
2385-2480|A horse (30% chance it is a war horse) is wandering loose down the street; two blocks away the owner is waving and shouting, running toward the animal.
2481-2620|A bull or ox is wandering loose down the street; people are looking, but not doing anything.
2621-2800|A bull or ox is wandering loose down the street; a group of [[2d6]] urchins are following it curiously.
2801-2880|A bull or ox is wandering loose down the street; two blocks away the owner is waving and shouting, running toward the animal.
2881-2964|A donkey or mule is wandering loose down the street; people are looking, but not doing anything.
2965-3072|A donkey or mule is wandering loose down the street; a group of [[2d6]] urchins are following it curiously.
