1-5|A trio of ebony dice with pips inlaid with pearl (400 sp) or teak masquerade mask, with ornamental jade and a deep purple feather (420 sp).
6-9|A one foot bronze sceptre with a claw on the end, encrusted with bloodstones (450 sp) or an intricate silver double finger ring, depicting a pair of birds (460 sp).
10-13|A pair of ivory earrings studded with tiny diamonds (470 sp) or a fine oak telescope inlaid with a jasper wave motif (490 sp).
14-17|A one foot jade statue of a coiled serpent (520 sp) or an ornate silver bowl with a sun motif, rimmed in gold (550 sp).
18-21|A six inch articulating hound, fashioned of burnished steel, with a gold key and tiny emerald eyes (560 sp) or a bronze circlet decorated with opals (570 gp).
22-25|A gold signet ring with a human eye motif (580 sp) or a trio of silver bangles with a corded rope motif (590 sp).
26-29|A magnifying glass with a silver crescent moon motif (600 sp) or antique wooden shield plaque, depicting dual headed Wodon, decorated with moonstones and amethysts (620 sp).
30-33|A lifelike, five foot teak carving of an attractive female (630 sp) or an ebony ring studded with peridot gemstones (640 sp).
34-36|A two foot mahogany chest edged with gold and studded with amber gems. The chest’s lock is inordinately difficult to pick (disad with a -3 penalty, 650 sp) or silver necklace with a gold pendant in the shape of a dancing flame (660 sp).
37-39|A four inch alabaster skull, decorated with platinum tracings (670 sp) or an ivory horn with intricate bronze capping, encrusted with amber stones (680 sp).
40-42|An ancient pair of cold iron gauntlets, decorated with holy symbols and moonstones (690 sp) or ebony walking cane with a hardened platinum tip and opal octopus handle (700 sp).
43-45|Exquisite ten inch silver tree sculpture, leaves studded with tiny diamonds (720 sp) or a silver crown with platinum tracery with a cloud motif (750 sp).
46-48|A platinum ring with lion motif (780 sp) or a platinum compass (810 sp).
49-51|A blacksteel breastplate decorated with gold and platinum griffons, highlighted with small rubies (840 sp) or a silver incense brazier and chain, studded with amethyst gemstones (870 sp).
52-54|A gold sceptre with diamonds (900 sp) or an obsidian torc decorated with ruby encrusted teardrops (930 sp).
55-57|Gold crown with small emeralds (960 sp) or old title deeds to Eventide Isle, located in one of the larger inlets of Lake Argos.
58-60|Gold quill studded with small diamonds (980 sp) or a fine platinum necklace decorated with emerald stones (1,000 sp).
61-70|Gemstones worth 500 sp + 100 sp x second [[d10]] roll. Gem type: (i-iii) Emerald, (iv-vi) Sapphire, (vii-viii) Ruby, (ix-x) Diamond.
71-77|A random Special Metal weapon (p.58).
78-84|A random Potion (p.239).
85-90|A random Scroll (p.240).
91-95|A random Minor Charm (p.244).
96-100|A random Major Magical Item (p.248).
